test 10 epoch, 0.05 eta, 16 batch 
Donnees validation : 9 : tensor([0.9640], device='cuda:0')
Hidden layers : [300, 300, 300] : tensor([0.9697], device='cuda:0')

Donnees validation : 0 : tensor([0.8723], device='cuda:0')
Donnees validation : 1 : tensor([0.9134], device='cuda:0')
Donnees validation : 2 : tensor([0.9321], device='cuda:0')
Donnees validation : 3 : tensor([0.9432], device='cuda:0')
Donnees validation : 4 : tensor([0.9495], device='cuda:0')
Donnees validation : 5 : tensor([0.9533], device='cuda:0')
Donnees validation : 6 : tensor([0.9586], device='cuda:0')
Donnees validation : 7 : tensor([0.9608], device='cuda:0')
Donnees validation : 8 : tensor([0.9643], device='cuda:0')
Donnees validation : 9 : tensor([0.9660], device='cuda:0')
Hidden layers : [500, 100, 100] : tensor([0.9707], device='cuda:0')

Donnees validation : 0 : tensor([0.8709], device='cuda:0')
Donnees validation : 1 : tensor([0.9156], device='cuda:0')
Donnees validation : 2 : tensor([0.9342], device='cuda:0')
Donnees validation : 3 : tensor([0.9441], device='cuda:0')
Donnees validation : 4 : tensor([0.9510], device='cuda:0')
Donnees validation : 5 : tensor([0.9567], device='cuda:0')
Donnees validation : 6 : tensor([0.9587], device='cuda:0')
Donnees validation : 7 : tensor([0.9631], device='cuda:0')
Donnees validation : 8 : tensor([0.9636], device='cuda:0')
Donnees validation : 9 : tensor([0.9669], device='cuda:0')
Hidden layers : [500, 300, 100] : tensor([0.9704], device='cuda:0')

Donnees validation : 0 : tensor([0.8760], device='cuda:0')
Donnees validation : 1 : tensor([0.9138], device='cuda:0')
Donnees validation : 2 : tensor([0.9272], device='cuda:0')
Donnees validation : 3 : tensor([0.9432], device='cuda:0')
Donnees validation : 4 : tensor([0.9499], device='cuda:0')
Donnees validation : 5 : tensor([0.9550], device='cuda:0')
Donnees validation : 6 : tensor([0.9593], device='cuda:0')
Donnees validation : 7 : tensor([0.9613], device='cuda:0')
Donnees validation : 8 : tensor([0.9640], device='cuda:0')
Donnees validation : 9 : tensor([0.9672], device='cuda:0')
Hidden layers : [500, 300, 300] : tensor([0.9717], device='cuda:0')

Donnees validation : 0 : tensor([0.8787], device='cuda:0')
Donnees validation : 1 : tensor([0.9197], device='cuda:0')
Donnees validation : 2 : tensor([0.9361], device='cuda:0')
Donnees validation : 3 : tensor([0.9454], device='cuda:0')
