test 10 epoch, 0.01 eta, 16 batch 
Donnees validation : 0 : tensor([0.7528], device='cuda:0')
Donnees validation : 1 : tensor([0.8189], device='cuda:0')
Donnees validation : 2 : tensor([0.8613], device='cuda:0')
Donnees validation : 3 : tensor([0.8798], device='cuda:0')
Donnees validation : 4 : tensor([0.8923], device='cuda:0')
Donnees validation : 5 : tensor([0.8990], device='cuda:0')
Donnees validation : 6 : tensor([0.9051], device='cuda:0')
Donnees validation : 7 : tensor([0.9110], device='cuda:0')
Donnees validation : 8 : tensor([0.9133], device='cuda:0')
Donnees validation : 9 : tensor([0.9190], device='cuda:0')
Hidden layers : [100, 100] : tensor([0.9224], device='cuda:0')

Donnees validation : 0 : tensor([0.7629], device='cuda:0')
Donnees validation : 1 : tensor([0.8357], device='cuda:0')
Donnees validation : 2 : tensor([0.8680], device='cuda:0')
Donnees validation : 3 : tensor([0.8856], device='cuda:0')
Donnees validation : 4 : tensor([0.8972], device='cuda:0')
Donnees validation : 5 : tensor([0.9064], device='cuda:0')
Donnees validation : 6 : tensor([0.9121], device='cuda:0')
Donnees validation : 7 : tensor([0.9164], device='cuda:0')
Donnees validation : 8 : tensor([0.9208], device='cuda:0')
Donnees validation : 9 : tensor([0.9254], device='cuda:0')
Hidden layers : [300, 100] : tensor([0.9269], device='cuda:0')

Donnees validation : 0 : tensor([0.7883], device='cuda:0')
Donnees validation : 1 : tensor([0.8470], device='cuda:0')
Donnees validation : 2 : tensor([0.8746], device='cuda:0')
Donnees validation : 3 : tensor([0.8906], device='cuda:0')
Donnees validation : 4 : tensor([0.9004], device='cuda:0')
Donnees validation : 5 : tensor([0.9079], device='cuda:0')
Donnees validation : 6 : tensor([0.9152], device='cuda:0')
Donnees validation : 7 : tensor([0.9202], device='cuda:0')
Donnees validation : 8 : tensor([0.9231], device='cuda:0')
Donnees validation : 9 : tensor([0.9272], device='cuda:0')
Hidden layers : [300, 300] : tensor([0.9306], device='cuda:0')

Donnees validation : 0 : tensor([0.7714], device='cuda:0')
Donnees validation : 1 : tensor([0.8405], device='cuda:0')
Donnees validation : 2 : tensor([0.8656], device='cuda:0')
Donnees validation : 3 : tensor([0.8868], device='cuda:0')
Donnees validation : 4 : tensor([0.8996], device='cuda:0')
Donnees validation : 5 : tensor([0.9055], device='cuda:0')
Donnees validation : 6 : tensor([0.9118], device='cuda:0')
Donnees validation : 7 : tensor([0.9177], device='cuda:0')
Donnees validation : 8 : tensor([0.9208], device='cuda:0')
Donnees validation : 9 : tensor([0.9256], device='cuda:0')
Hidden layers : [500, 100] : tensor([0.9289], device='cuda:0')

Donnees validation : 0 : tensor([0.7954], device='cuda:0')
Donnees validation : 1 : tensor([0.8521], device='cuda:0')
Donnees validation : 2 : tensor([0.8812], device='cuda:0')
Donnees validation : 3 : tensor([0.8938], device='cuda:0')
Donnees validation : 4 : tensor([0.9029], device='cuda:0')
Donnees validation : 5 : tensor([0.9115], device='cuda:0')
Donnees validation : 6 : tensor([0.9185], device='cuda:0')
Donnees validation : 7 : tensor([0.9221], device='cuda:0')
Donnees validation : 8 : tensor([0.9259], device='cuda:0')
Donnees validation : 9 : tensor([0.9284], device='cuda:0')
Hidden layers : [500, 300] : tensor([0.9316], device='cuda:0')

Donnees validation : 0 : tensor([0.7944], device='cuda:0')
Donnees validation : 1 : tensor([0.8508], device='cuda:0')
Donnees validation : 2 : tensor([0.8763], device='cuda:0')
Donnees validation : 3 : tensor([0.8919], device='cuda:0')
Donnees validation : 4 : tensor([0.9035], device='cuda:0')
Donnees validation : 5 : tensor([0.9102], device='cuda:0')
Donnees validation : 6 : tensor([0.9167], device='cuda:0')
Donnees validation : 7 : tensor([0.9225], device='cuda:0')
Donnees validation : 8 : tensor([0.9263], device='cuda:0')
Donnees validation : 9 : tensor([0.9312], device='cuda:0')
Hidden layers : [500, 500] : tensor([0.9316], device='cuda:0')

Donnees validation : 0 : tensor([0.4551], device='cuda:0')
Donnees validation : 1 : tensor([0.6146], device='cuda:0')
Donnees validation : 2 : tensor([0.7607], device='cuda:0')
Donnees validation : 3 : tensor([0.8056], device='cuda:0')
Donnees validation : 4 : tensor([0.8487], device='cuda:0')
Donnees validation : 5 : tensor([0.8756], device='cuda:0')
Donnees validation : 6 : tensor([0.8890], device='cuda:0')
Donnees validation : 7 : tensor([0.8967], device='cuda:0')
Donnees validation : 8 : tensor([0.9017], device='cuda:0')
Donnees validation : 9 : tensor([0.9053], device='cuda:0')
Hidden layers : [100, 100, 100] : tensor([0.9113], device='cuda:0')

Donnees validation : 0 : tensor([0.6729], device='cuda:0')
Donnees validation : 1 : tensor([0.7274], device='cuda:0')
Donnees validation : 2 : tensor([0.7963], device='cuda:0')
Donnees validation : 3 : tensor([0.8483], device='cuda:0')
Donnees validation : 4 : tensor([0.8762], device='cuda:0')
Donnees validation : 5 : tensor([0.8907], device='cuda:0')
Donnees validation : 6 : tensor([0.8974], device='cuda:0')
Donnees validation : 7 : tensor([0.9021], device='cuda:0')
Donnees validation : 8 : tensor([0.9084], device='cuda:0')
Donnees validation : 9 : tensor([0.9134], device='cuda:0')
Hidden layers : [300, 100, 100] : tensor([0.9157], device='cuda:0')

Donnees validation : 0 : tensor([0.5854], device='cuda:0')
Donnees validation : 1 : tensor([0.7129], device='cuda:0')
Donnees validation : 2 : tensor([0.8090], device='cuda:0')
Donnees validation : 3 : tensor([0.8495], device='cuda:0')
